nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,2,0.0418777
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,2,0.0550596
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,2,0.0813872
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,4, 0.0571826
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,4,0.0577661
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,4,0.0587204
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,4,0.0612383
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,4,0.0677300
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,4,0.0810267
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,4,0.1071292
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,8, 0.1136932
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,8,0.1140496
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,8,0.1157443
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,8,0.1162821
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,8,0.1203947
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,8,0.1324240
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,8,0.1591969
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,16, 0.2282499
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,16,0.2282499
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,16,0.2282499
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,16,0.2293641
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,16,0.2318320
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,16,0.2387020
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,16,0.2620954
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,32, 0.4544109
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,32,0.4557329
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,32,0.4558243
