nom_voltage,nom_temperature,nom_process,related_pin INOUT1,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,3.70418,0.0045307
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,3.70418,0.0071520
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,3.70418,0.0124927
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,3.70418,0.0220459
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,3.70418,0.0375292
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,5.70418, 0.0019728
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,5.70418,0.0030151
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,5.70418,0.0042023
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,5.70418,0.0065799
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,5.70418,0.0114859
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,5.70418,0.0219574
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,5.70418,0.0411164
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,9.70418, 0.0018660
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,9.70418,0.0030047
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,9.70418,0.0040548
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,9.70418,0.0062335
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,9.70418,0.0109962
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,9.70418,0.0207056
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,9.70418,0.0413602
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,17.7042, 0.0017306
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,17.7042,0.0029062
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,17.7042,0.0039958
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,17.7042,0.0066093
